City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Kupino,RU,2022-10-18 19:15:58,54.3663,77.2981,40.48,85,96,7.31
88,Port Alfred,ZA,2022-10-18 19:16:00,-33.5906,26.891,68.18,92,49,3.0
89,Hermanus,ZA,2022-10-18 19:16:00,-34.4187,19.2345,63.81,85,63,10.56
90,Tasiilaq,GL,2022-10-18 19:16:00,65.6145,-37.6368,37.56,82,100,2.71
91,Iquique,CL,2022-10-18 19:16:01,-20.2208,-70.1431,62.64,68,18,7.99
92,Ha Giang,VN,2022-10-18 19:14:59,22.8333,104.9833,60.76,61,97,4.81
93,Fort Nelson,CA,2022-10-18 19:15:13,58.8053,-122.7002,40.59,75,75,3.44
94,Lebu,CL,2022-10-18 19:16:01,-37.6167,-73.65,57.15,73,42,7.07
95,Shache,CN,2022-10-18 19:16:02,38.4167,77.2406,53.71,17,50,4.99
96,Krasnaya Gora,RU,2022-10-18 19:17:02,52.9995,31.6023,56.03,82,100,7.2
97,Pecos,US,2022-10-18 19:12:04,31.4229,-103.4932,59.83,54,100,6.91
98,Dukat,RU,2022-10-18 19:17:03,62.55,155.55,0.23,98,100,8.9
99,Grindavik,IS,2022-10-18 19:17:03,63.8424,-22.4338,44.55,81,100,11.5
100,Cape Town,ZA,2022-10-18 19:15:00,-33.9258,18.4232,65.12,88,75,13.8
101,Arkhangelsk,RU,2022-10-18 19:17:04,64.5401,40.5433,39.31,86,75,8.95
102,Jamestown,US,2022-10-18 19:16:14,42.097,-79.2353,42.39,91,100,16.11
103,Khatanga,RU,2022-10-18 19:17:04,71.9667,102.5,28.99,96,100,23.31
104,Neuquen,AR,2022-10-18 19:17:05,-38.9516,-68.0591,72.57,35,100,17.0
105,Ribeira Grande,PT,2022-10-18 19:17:05,38.5167,-28.7,61.2,67,40,14.97
106,Mandapam,IN,2022-10-18 19:17:06,9.2833,79.1167,83.17,70,100,11.1
107,Leh,IN,2022-10-18 19:17:07,34.1667,77.5833,32.72,62,84,2.08
108,Slave Lake,CA,2022-10-18 19:15:45,55.2834,-114.769,55.38,71,0,4.61
109,Hanna,CA,2022-10-18 19:17:07,51.6334,-111.9018,66.85,27,54,3.0
110,Alofi,NU,2022-10-18 19:15:18,-19.0595,-169.9187,76.89,78,100,9.22
111,Saint-Francois,FR,2022-10-18 19:17:08,46.4154,3.9054,63.84,72,0,5.75
112,Harqalah,TN,2022-10-18 19:17:08,36.0303,10.509,73.26,68,20,6.91
113,Halifax,CA,2022-10-18 19:13:52,44.6453,-63.5724,66.69,88,75,14.97
114,Pong,TH,2022-10-18 19:17:09,19.1493,100.2752,66.13,88,4,1.01
115,Bandarbeyla,SO,2022-10-18 19:17:09,9.4942,50.8122,78.46,80,35,9.15
116,Hobyo,SO,2022-10-18 19:17:10,5.3505,48.5268,78.37,81,100,16.24
117,Shieli,KZ,2022-10-18 19:17:10,44.1667,66.75,48.0,45,100,8.43
118,Kapaa,US,2022-10-18 19:17:10,22.0752,-159.319,82.38,78,0,4.61
119,Airai,TL,2022-10-18 19:17:11,-8.9266,125.4092,61.72,91,100,1.45
120,Klaksvik,FO,2022-10-18 19:17:11,62.2266,-6.589,41.92,66,98,7.87
121,Stanislav,UA,2022-10-18 19:17:11,46.5691,32.1478,55.42,55,8,4.7
122,Feltre,IT,2022-10-18 19:17:12,46.0235,11.907,66.15,90,0,3.89
123,Hamilton,US,2022-10-18 19:14:43,39.1834,-84.5333,45.59,64,100,18.41
124,Mehamn,NO,2022-10-18 19:15:29,71.0357,27.8492,39.11,87,75,16.11
125,May Pen,JM,2022-10-18 19:17:12,17.9645,-77.2451,87.01,57,100,8.08
126,Bredasdorp,ZA,2022-10-18 19:17:13,-34.5322,20.0403,60.84,96,89,5.79
127,Coihaique,CL,2022-10-18 19:17:13,-45.5752,-72.0662,69.75,16,0,8.05
128,Flin Flon,CA,2022-10-18 19:17:14,54.7682,-101.865,46.24,39,40,10.36
129,Christchurch,NZ,2022-10-18 19:17:14,-43.5333,172.6333,46.9,98,95,1.14
130,Belyy Yar,RU,2022-10-18 19:17:14,53.6039,91.3903,37.29,81,0,8.95
131,Darab,IR,2022-10-18 19:17:15,28.7519,54.5444,73.0,18,100,1.01
132,Yellowknife,CA,2022-10-18 19:15:19,62.456,-114.3525,48.72,66,20,11.99
133,Izhma,RU,2022-10-18 19:17:15,65.0083,53.9113,39.06,96,100,6.98
134,Itaituba,BR,2022-10-18 19:17:16,-4.2761,-55.9836,80.76,83,75,3.44
135,Hithadhoo,MV,2022-10-18 19:17:16,-0.6,73.0833,81.27,70,100,6.29
136,Nedjo,ET,2022-10-18 19:17:16,9.5046,35.5019,58.73,93,100,0.74
137,Suriapet,IN,2022-10-18 19:18:17,17.15,79.6167,75.22,90,100,3.87
138,Rawson,AR,2022-10-18 19:18:17,-43.3002,-65.1023,76.89,22,0,28.68
139,Zhigalovo,RU,2022-10-18 19:18:18,54.8097,105.1578,36.16,90,99,5.53
140,Koslan,RU,2022-10-18 19:18:18,63.4564,48.8989,39.18,92,99,7.65
141,Vitoria,BR,2022-10-18 19:15:09,-20.3194,-40.3378,78.66,79,40,14.97
142,Garoua,CM,2022-10-18 19:18:19,9.3,13.4,79.45,66,100,4.14
143,Tulun,RU,2022-10-18 19:18:19,54.5611,100.5792,34.81,83,96,3.83
144,Ostersund,SE,2022-10-18 19:18:20,63.1792,14.6357,37.85,93,40,13.8
